Sample_No,SAP_%,W_C_Ratio,Weight_g,Area_mm2,Peak_Load_kN,Final_Load_kN,Peak_Stress_MPa,Final_Stress_MPa,Slump_mm,Age_days
1,0.2,0.4,2514,11770,277.8,270.6,23.6,23.8,70,7
2,0.2,0.4,2500,11236,273,270.6,24.3,23.8,70,7
3,0.2,0.4,2450,11130,260.9,270.6,23.4,23.8,70,7
4,0.4,0.4,2706,11770,179.6,181,15.3,15.8,150,7
5,0.4,0.4,2512,11024,191.8,181,17.4,15.8,150,7
6,0.4,0.4,2500,11664,171.5,181,14.7,15.8,150,7
7,0.6,0.4,2582,12100,130.4,123.2,10.8,10.4,200,7
8,0.6,0.4,2532,11660,102.6,123.2,8.8,10.4,200,7
9,0.6,0.4,2710,11770,136.5,123.2,11.6,10.4,200,7
10,0.2,0.36,2450,10201,165.5,167.5,16.2,16.1,10,7
11,0.2,0.36,2412,10302,149.4,167.5,14.5,16.1,10,7
12,0.2,0.36,2500,10609,187.8,167.5,17.7,16.1,10,7
13,0.4,0.36,2400,10302,209.2,205.5,20.3,19.8,40,7
14,0.4,0.36,2406,10302,214.3,205.5,20.8,19.8,40,7
15,0.4,0.36,2502,10608,193.1,205.5,18.2,19.8,40,7
16,0.6,0.36,2450,10504,136.1,146.1,13,13.9,70,7
17,0.6,0.36,2470,10712,162.8,146.1,15.2,13.9,70,7
18,0.6,0.36,2412,10404,139.4,146.1,13.4,13.9,70,7
19,0.4,0.34,2500,10201,208,217.2,20.4,21.4,30,7
20,0.4,0.34,2512,10100,214.1,217.2,21.2,21.4,30,7
21,0.4,0.34,2450,10200,229.5,217.2,22.5,21.4,30,7
22,0.6,0.34,2550,10300,120.6,116.1,11.7,11.2,60,7
23,0.6,0.34,2470,10302,115.4,116.1,11.2,11.2,60,7
24,0.6,0.34,2500,10403,112.4,116.1,10.8,11.2,60,7
25,0,0.4,2604,11770,320.1,310.2,27.2,27.8,70,7
26,0,0.4,2545,10920,302.7,310.2,27.7,27.8,70,7
27,0,0.4,2550,10816,307.6,310.2,28.4,27.8,70,7
28,0.2,0.45,2378,10000,187.5,186.9,18.75,18.9,170,7
29,0.2,0.45,2353.5,9900,188.2,186.9,19.01,18.9,170,7
30,0.2,0.45,2360.4,9800,185,186.9,18.88,18.9,170,7
31,0.4,0.45,2471,10000,164.2,155.1,16.42,15.6,230,7
32,0.4,0.45,2454,9999,164.1,155.1,16.41,15.6,230,7
33,0.4,0.45,2447.5,9800,136.9,155.1,13.97,15.6,230,7
34,0.2,0.38,2470.5,10200,291.1,280.8,28.54,27.4,70,7
35,0.2,0.38,2487,10302,281.1,280.8,27.29,27.4,70,7
36,0.2,0.38,2439,10200,270.2,280.8,26.49,27.4,70,7
37,0.4,0.38,2430,10100,228.8,230.1,22.65,22.9,100,7
38,0.4,0.38,2406,10000,232.5,230.1,23.25,22.9,100,7
39,0.4,0.38,2398,10098,229.1,230.1,22.69,22.9,100,7
40,0.6,0.38,2564.5,9996,115.2,132.4,11.52,13.2,190,7
41,0.6,0.38,2492.5,10100,125.1,132.4,12.39,13.2,190,7
42,0.6,0.38,2550,10000,157,132.4,15.7,13.2,190,7
43,0,0.35,2393.5,9801,197.2,179.6,20.12,18.3,10,7
44,0,0.35,2457.5,9702,168.9,179.6,17.41,18.3,10,7
45,0,0.35,2383,9900,172.8,179.6,17.45,18.3,10,7
46,0.2,0.45,2392,9999,221.8,206.9,22.18,20.8,170,14
47,0.2,0.45,2402.5,10000,199,206.9,19.9,20.8,170,14
48,0.2,0.45,2358,9900,199.9,206.9,20.19,20.8,170,14
49,0.4,0.45,2474,9801,164.6,191,16.79,19.1,230,14
50,0.4,0.45,2480.5,9900,198.3,191,20.03,19.1,230,14
51,0.4,0.45,2420,10200,210.2,191,20.61,19.1,230,14
52,0.2,0.38,2460,9999,304.5,320.4,30.45,31.4,70,14
